Name,Population,knownNames
Pakur,1129489.357,Pakur
Palakkad,3524781.21,Palakkad
Palamu,2433371.674,Palamu
Pali,2555931.571,Pali
Palwal ,1307972.915,Palwal 
Panch Mahals,2998989.414,Panch Mahals
Panchkula,704085.9392,Panchkula
Panipat,1512100.173,Panipat
Panna,1275122.688,Panna
Papum Pare,221493.1712,Papum Pare
Parbhani,2303186.278,Parbhani
Paschim Medinipur,7417840.461,"Paschim Medinipur,medinipur east"
Pashchim Champaran,4936116.685,Pashchim Champaran
Pashchimi Singhbhum,1884532.787,Pashchimi Singhbhum
Patan  ,1685579.93,Patan  
Pathanamthitta,1502033.613,Pathanamthitta
Patiala,2377948.518,Patiala
Patna,7323770.496,Patna
Perambalur  ,709015.7312,Perambalur  
Peren,119442.7136,Peren
Phek,204991.5392,Phek
Pilibhit,2547695.181,Pilibhit
Pithoragarh,606425.8816,Pithoragarh
Porbandar ,734387.2256,Porbandar 
Prakasam,4261758.771,Prakasam
Pratapgarh,1088628.531,Pratapgarh
Pratapgarh,4025546.47,Pratapgarh
Puducherry,1192042.522,Puducherry
Pudukkottai,2030051.968,Pudukkottai
Pulwama,703015.936,Pulwama
Punch,598141.824,Punch
Pune,11828249.4,Pune
Purba Champaran,6396650.982,Purba Champaran
Purba Medinipur,6392265.6,Purba Medinipur
Purbi Singhbhum,2877491.994,Purbi Singhbhum
Puri,2130886.912,Puri
Purnia,4095138.074,Purnia
Puruliya,3675536.256,Puruliya
Rae Bareli,4271933.21,Rae Bareli
Raichur,2419501.773,Raichur
Raigarh,1874053.53,Raigarh
Raigarh,3304340.48,Raigarh
Raipur,5097721.037,Raipur
Raisen,1670355.277,Raisen
Rajgarh,1939069.082,Rajgarh
Rajkot,4772437.555,Rajkot
Rajnandgaon,1928179.635,Rajnandgaon
Rajouri,805845.376,Rajouri
Rajsamand,1450835.277,Rajsamand
Ramanagara,1358058.598,Ramanagara
Ramanathapuram,1697761.408,Ramanathapuram
Ramban,355889.5872,Ramban
Ramgarh,1190981.299,Ramgarh
Rampur,2930051.354,Rampur
Ranchi,3655638.963,Ranchi
Rangareddy,6644231.91,Rangareddy
Ratlam,1825238.554,Ratlam
Ratnagiri,2025942.554,Ratnagiri
Rayagada  ,1214147.558,Rayagada  
Reasi,394718.2848,Reasi
Rewa,2966788.966,Rewa
Rewari,1129376.461,Rewari
Ribhoi,324688.896,Ribhoi
Rohtak,1331174.298,Rohtak
Rohtas,3712921.139,Rohtas
Rudraprayag,303922.304,Rudraprayag
Rupnagar,858796.1088,Rupnagar
Sabar Kantha,3046422.042,Sabar Kantha
Sagar,2983537.715,Sagar
Saharanpur,4348229.581,Saharanpur
Saharsa,2384189.158,Saharsa
Sahibganj,1443271.245,Sahibganj
Sahibzada Ajit Singh Nagar,1247661.363,Sahibzada Ajit Singh Nagar
Saiha,70966.4256,Saiha
Salem,4367891.046,Salem
Samastipur,5345708.39,Samastipur
Samba,400025.6512,Samba
Sambal,1305954.586,Sambalpur
Sangli,3540096.179,Sangli
Sangrur,2076243.994,Sangrur
Sant Kabir Nagar,2151525.555,Sant Kabir Nagar
Sant Ravidas Nagar (Bhadohi),1979710.387,Sant Ravidas Nagar (Bhadohi)
Saraikela-Kharsawan,1336006.246,Saraikela-Kharsawan
Saran,4957215.693,Saran
Satara,3767892.71,Satara
Satna,2795976.064,Satna
Sawai Madhopur,1675315.174,Sawai Madhopur
Sehore,1644934.861,Sehore
Senapati,601043.2512,Senapati
Seoni,1729981.926,Seoni
Serchhip,81456.9728,Serchhip
Shahdol,1337269.427,Shahdol
Shahid Bhagat Singh Nagar ,768081.664,Shahid Bhagat Singh Nagar 
Shahjahanpur,3771401.267,Shahjahanpur
Shajapur,1897507.046,Shajapur
Sheikhpura,798227.4048,Sheikhpura
Sheohar,823194.9824,Sheohar
Sheopur ,862852.8384,Sheopur 
Shimla,1021094.144,Shimla
Shimoga,2198653.363,Shimoga
Shivpuri,2165157.12,Shivpuri
Shrawasti,1401617.638,Shrawasti
Shupiyan,333940.096,Shupiyan
Siddharthnagar,3210382.157,Siddharthnagar
Sidhi,1413750.195,Sidhi
Sikar,3358446.515,Sikar
Simdega,752110.6432,Simdega
Sindhudurg,1065802.214,Sindhudurg
Singrauli,1478025.651,Singrauli
Sirmaur,664650.112,Sirmaur
Sirohi,1299992.422,Sirohi
Sirsa,1624685.082,Sirsa
Sitamarhi,4294531.226,Sitamarhi
Sitapur,5624719.565,Sitapur
Sivaganga,1679768.294,Sivaganga
Sivasagar,1443877.12,Sivasagar
Siwan,4177734.042,Siwan
